Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
211,13,0.01,adasyn,zero,0.3,60.262727618,0.2506773302909978,0.25278512726105656,463,134,287,345,668,144,349
212,13,0.01,adasyn,zero,0.5,60.026684664,0.2502945821477609,0.25279442877007335,216,249,478,243,477,250,243
213,13,0.01,adasyn,zero,0.7,60.383616796,0.25054842192201826,0.2493417517385743,178,329,669,156,286,337,156
214,13,0.01,adasyn,mean,0.3,60.078614385,0.25080233632440463,0.2500543281844218,354,145,303,365,706,150,343
215,13,0.01,adasyn,mean,0.5,60.249360163,0.2491040961113576,0.2510358738081425,190,271,505,246,504,235,258
216,13,0.01,adasyn,mean,0.7,60.346442246,0.49535728767205367,0.46228134088442163,143,354,706,162,303,352,141
217,13,0.05,adasyn,zero,0.3,60.017802852,0.2510210692414131,0.2573847695599865,319,146,287,319,668,143,350
218,13,0.05,adasyn,zero,0.5,60.095462171,0.251600803309301,0.24502488744125445,199,244,478,253,477,259,234
219,13,0.05,adasyn,zero,0.7,60.020631583,0.25341579836850053,0.26836167680446016,139,350,669,127,286,365,128
220,13,0.05,adasyn,mean,0.3,60.111150034,0.2394519557451807,0.2563577558312702,356,181,303,349,706,129,364
221,13,0.05,adasyn,mean,0.5,60.107814744,0.2509055938282744,0.2499205750687922,178,256,505,256,504,244,249
222,13,0.05,adasyn,mean,0.7,60.051833664,0.2539963568374333,0.24940647657872236,154,351,706,156,303,345,148
223,13,0.1,adasyn,zero,0.3,60.033427232,0.2570840996334613,0.2507873380981392,405,144,287,342,668,151,342
224,13,0.1,adasyn,zero,0.5,60.141084659,0.252761606063175,0.2493498892823436,229,233,478,251,477,242,251
225,13,0.1,adasyn,zero,0.7,60.097557981,0.25171174810209884,0.2452433707467212,157,343,669,154,286,339,154
226,13,0.1,adasyn,mean,0.3,60.025472498,0.5148490666083604,0.47733488435999627,325,147,303,369,706,156,337
