Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
233,13,0.2,,mean,0.5,60.021573445,0.174897049626135,0.16257980229229088,516,244,312,249,312,244,249
234,13,0.2,,mean,0.7,60.150884265,0.1688162429145988,0.16267487443145828,369,344,437,149,187,344,149
235,13,0.3,,zero,0.3,60.045124852,0.1553273636385218,0.1815887768690342,864,152,187,341,437,152,341
236,13,0.3,,zero,0.5,60.032982269,0.1533291497953974,0.17899443423982822,521,253,312,239,312,254,239
237,13,0.3,,zero,0.7,60.137120762,0.1764877481663839,0.15707482869888206,367,340,437,151,187,340,153
238,13,0.3,,mean,0.3,60.028148341,0.16097765661370755,0.1708405843183035,847,151,187,342,437,151,342
239,13,0.3,,mean,0.5,60.018276066,0.17184272412259316,0.16888975777391976,518,247,312,246,312,247,246
240,13,0.3,,mean,0.7,60.083756139,0.16833221923485026,0.1897703445070852,365,347,437,146,187,347,146
241,14,0.01,,zero,0.3,60.074936315,0.16841898050555332,0.16487566384655902,786,147,187,346,437,147,346
242,14,0.01,,zero,0.5,60.121451989,0.16150736186805034,0.1730839094740754,478,249,312,242,312,249,244
